model,version,price,mileage,year,doors,power,energy,gearbox,consumption,state_number,evaluation
BMW SERIE 5 F11 TOURING,(F11) (2) TOURING 520D 190 LUXURY BVA8,23500,91500,2015,5,190,Diesel,automatique,4.0, 34,Offre équitable
BMW SERIE 4 F32,(F32) COUPE 430DA XDRIVE 258 SPORT,35500,54500,2015,2,259,Diesel,automatique,5.0, 75,Au-dessus du marché
BMW X3 G01,(G01) XDRIVE20DA 190 XLINE,44900,49560,2019,5,190,Diesel,automatique,4.0, 92,Offre équitable
BMW SERIE 3 GT F34,(F34) 318D 143 LUXURY BVA8,21900,91256,2015,5,143,Diesel,automatique,4.0, 11,Offre équitable
BMW X3 F25,(F25) XDRIVE20D 184 EXCLUSIVE,13500,207722,2012,5,184,Diesel,mécanique,5.0, 91,Bonne affaire
BMW SERIE 7 G11,(G11) 730D XDRIVE 265 EXCLUSIVE BVA8,35000,187480,2017,4,265,Diesel,automatique,5.0, 79,Bonne affaire
BMW X3 G01,(G01) M40IA 360,62900,29250,2018,5,361,Essence,automatique,8.0, 28,Bonne affaire
BMW SERIE 3 E93 CABRIOLET,(E93) CABRIOLET 330DA LUXE,10500,265550,2008,2,231,Diesel,automatique,7.0, 93,Offre équitable
BMW SERIE 3 E46 COUPE,(E46) COUPE 330CI STEPTRONIC,13500,109103,2002,2,231,Essence,automatique,9.0, 49,Analyse indisponible
BMW SERIE 5 F11 TOURING,(F11) (2) TOURING 535D XDRIVE 313 LUXURY BVA8,39900,77040,2016,5,313,Diesel,automatique,6.0, 21,Analyse indisponible
BMW X1 F48,(F48) SDRIVE18I M SPORT DKG7,28990,39200,2019,5,140,Essence,automatique,6.0, 57,Bonne affaire
BMW Z4 E89,(E89) SDRIVE23I 204 CONFORT,19500,93030,2011,2,204,Essence,automatique,8.0, 25,Analyse indisponible
BMW SERIE 3 G20,(G20) 320DA XDRIVE 190 M SPORT,49990,11769,2020,4,190,Diesel,automatique,4.6, 31,Bonne affaire
BMW X1 F48,(F48) XDRIVE18D XLINE BVA8,32970,37268,2019,5,150,Diesel,automatique,4.7, 35,Offre équitable
BMW X3 G01,(G01) M40IA 354,89980,5350,2020,5,354,Essence,automatique,8.0, 38,Analyse indisponible
BMW SERIE 2 F23 CABRIOLET,(F23) CABRIOLET 218I 136 M SPORT BVA8,34750,13427,2020,2,7,Essence,automatique,, 44,Bonne affaire
BMW SERIE 2 F45 ACTIVE TOURER,(F45) ACTIVE TOURER 214D PREMIERE,14900,56742,2017,5,95,Diesel,mécanique,4.3, 67,Bonne affaire
